job-title,company,locations,edited_job-title,edited_company,edited_locations,years_of_experience,job_description,job_type
Lead Administrator,Wipro Limited,"Navi Mumbai, Mumbai City, Mumbai",Lead-Administrator,Wipro-Limited,Navi-Mumbai-Mumbai-City-Mumbai,4-9 Years,"The purpose of this role is to provide significant technical expertise in architecture planning and design of the concerned tower (platform, database, middleware, backup etc) as well as managing its day-to-day operationsDoProvide adequate support in architecture planning, migration & installation for new projects in own tower (platform/dbase/ middleware/ backup)Lead the structural/ architectural design of a platform/ middleware/ database/ back up etc. according to various system requirements to ensure a highly scalable and extensible solutionConduct technology capacity planning by reviewing the current and future requirementsUtilize and leverage the new features of all underlying technologies to ensure smooth functioning of the installed databases and applications/ platforms, as applicableStrategize & implement disaster recovery plans and create and implement backup and recovery plansManage the day-to-day operations of the towerManage day-to-day operations by troubleshooting any issues, conducting root cause analysis (RCA) and developing fixes to avoid similar issues.Plan for and manage upgradations, migration, maintenance, backup, installation and configuration functions for own towerReview the technical performance of own tower and deploy ways to improve efficiency, fine tune performance and reduce performance challengesDevelop shift roster for the team to ensure no disruption in the towerCreate and update SOPs, Data Responsibility Matrices, operations manuals, daily test plans, data architecture guidance etc.Provide weekly status reports to the client leadership team, internal stakeholders on database activities w.r.t. progress, updates, status, and next stepsLeverage technology to develop Service Improvement Plan (SIP) through automation and other initiatives for higher efficiency and effectivenessTeam ManagementResourcingForecast talent requirements as per the current and future business needsHire adequate and right resources for the teamTrain direct reportees to make right recruitment and selection decisionsTalent ManagementEnsure 100% compliance to Wipros standards of adequate onboarding and training for team members to enhance capability & effectivenessBuild an internal talent pool of HiPos and ensure their career progression within the organizationPromote diversity in leadership positionsPerformance ManagementSet goals for direct reportees, conduct timely performance reviews and appraisals, and give constructive feedback to direct reports.Ensure that organizational programs like Performance Nxt are well understood and that the team is taking the opportunities presented by such programs to their and their levels belowEmployee Satisfaction and EngagementLead and drive engagement initiatives for the teamTrack team satisfaction scores and identify initiatives to build engagement within the teamProactively challenge the team with larger and enriching projects/ initiatives for the organization or teamExercise employee recognition and appreciation",Permanent Job
SSIS Developer,HCL Technologies Limited,Bengaluru,SSIS-Developer,HCL-Technologies-Limited,Bengaluru,3-7 Years,"Responsibilities for SSIS Developer:Experience working with SSIS packages using ETL tools such as Microsoft SSIS.Design and develop SQL Server stored procedures, functions, views and triggers to be used during the ETL process.Builds data transformations with SSIS including importing data from files, moving data from database platform to another system like CRM, etc.Design and develop ETL solutions using data integration tools for interfacing between source application and the Enterprise Data Warehouse.Analyze and develop strategies and approaches to import and transfer data between source, staging, and ODS/Data Warehouse destinations.Test and prepare ETL processes for deployment to production and non-production environments. Develops, tests and troubleshoots ETL processes.Qualifications for SSIS Developer 5+ years of experience with SSIS ETL development with Kingsway soft components.Bachelor s degree in computer science or equivalent in a technically related field.Hands-on development experience with SQL Server and Transact-SQL, including stored procedure development.Good to have MS Dynamics CRM experience. Ability to learn and apply new technologies quickly.Excellent oral and written communication skills and a teamwork-centric work.",Permanent Job
Security Consultant - B,Capgemini Technology Services India Limited,Bengaluru,Security-Consultant-B,Capgemini-Technology-Services-India-Limited,Bengaluru,4-7 Years,"Job descriptionJob DescriptionA broad title that covers one or more areas within our security advisory portfolio. A generalist role that can be applicable to any of the security offerings related but not limited to Infrastructure, Identity and Access Management, Data Protection, Cloud Security and Application Security. Is able to address customer challenges that are pertinent to people, processes and technologies.Job Description - Grade SpecificHas basic understanding of relevant laws and regulations Understands the business of the client and translates it to relevant security requirements and solutions. Works towards achieving necessary certificationsSkills (competencies)Business AcumenBusiness AgilityBusiness ContinuityBusiness PartneringBusiness UnderstandingContractingCritical ThinkingData AnalysisData ManagementData PrivacyData SecurityDigital ForensicsEncryptionIdentity ManagementIncident ManagementInformation Technology AssessmentIntelligence AnalysisKnowledge ManagementPhyscial Device SecurityPolicy DevelopmentProblem SolvingProcurementProject ManagementRequirements AnalysisRisk ManagementSystem IntegrationSystem TestingTarget DevelopmentThreat AnalysisVerbal CommunicationVulnerability AssessmentWritten Communication",Permanent Job
Network ACI & SPINE Engineer,Tata Consultancy Services Limited,"Hyderabad, Chennai",Network-ACI-SPINE-Engineer,Tata-Consultancy-Services-Limited,Hyderabad-Chennai,7-12 Years,"Job descriptionACI & SPINEStrong Understanding of Higher end CISCO switches and ISR routers (Nexus7K, 5K, 2K, Cisco 6500, 4500, 3750 and 2900) and Routers (4000, 7200,3800 and 2800).Should be able to handle complex Routing and Switching issues, route redistribution, IPSEC /Crypto issues,Preferred to have work experience and knowledge on VPC, VSS, HSRP/VRRP / Cisco ACI Leaf Spine Design , Wireshark , Net flow, Good understanding of MPLS, GRE / SD-WAN Cloud.Knowledge/Hands-on of HP Aruba Switches.Experience of managing large scale network infrastructure and Data Centres in accordance to industry best practice.In depth knowledge of configuring and troubleshooting switching technologies like STP, VTP, GRE and IPSEC Tunnels , L2 and L3 best practices of Implementation Cisco Devices along with L2 Traffic Flow analysis.In depth knowledge of configuring and troubleshooting routing protocols including static, dynamic (BGP, OSPF and EIGRP) and PBR.Preferable Knowledge on Firewall, Load Balancers, Wifi",Permanent Job
HCL is hiring For AIML Technical Architect,HCL Technologies Limited,Noida,HCL-is-hiring-For-AIML-Technical-Architect,HCL-Technologies-Limited,Noida,9-14 Years,"Job Title: Tech ArchitectRole & ResponsibilitiesResearch, develop, optimize and productize for artificial intelligence and machine learning applications.Skills & CompetenciesIn-depth knowledge of machine learning, text extraction and image processing techniques & Natural Language ProcessingExperience in developing machine learning, text extraction and image processing algorithms, and optimizing the existing algorithms.Coding experience in Python.Experience in products like Tensorflow, CUDA toolkit, CuDNN, Theano, Caffe, Torch, OpenCV or similar tools.Experience working with Cloud Services AWS, Azure etc.Takes ownership of self-professional developmentThe desired candidate should be a quick thinker and should have a track record of high performance product development. Additionally, the candidate should be innovative, dedicated and result oriented.Research experience is preferred.Strong background in Math specially in statistics , modelling and matricesQualificationExperience  10 yearsEducation Master's Degree in Computer Science",Permanent Job
Fullstack Developer,HCL Technologies Limited,Bengaluru,Fullstack-Developer,HCL-Technologies-Limited,Bengaluru,5-9 Years,"DescriptionWe are seeking a highly skilled Fullstack Developer to join our team. The ideal candidate will have 5-9 years of experience in developing web applications using modern technologies. The Fullstack Developer will be responsible for designing, developing, and maintaining both front-end and back-end components of web applications. The candidate must be able to work independently and collaborate with cross-functional teams to deliver high-quality software solutions.ResponsibilitiesDesign and develop web applications using modern front-end and back-end technologiesCollaborate with cross-functional teams to gather and analyze business requirementsWrite clean, maintainable, and efficient codeTest and debug web applications to ensure high-quality software solutionsDeploy web applications to production environmentsStay up-to-date with the latest technologies and trends in web developmentSkills and QualificationsBachelor's degree in Computer Science or related field5-9 years of experience in developing web applicationsStrong proficiency in front-end technologies such as HTML, CSS, and JavaScriptStrong proficiency in back-end technologies such as Node.js, Python, or JavaExperience with modern front-end frameworks such as Angular, React, or Vue.jsExperience with modern back-end frameworks such as Express.js, Flask, or Spring BootExperience with databases such as MySQL, MongoDB, or PostgreSQLExperience with cloud technologies such as AWS, Azure, or Google CloudExperience with version control systems such as GitExcellent problem-solving and analytical skillsGood communication and collaboration skills",Permanent Job
Sql Server database ETL,HCL Technologies Limited,Noida,Sql-Server-database-ETL,HCL-Technologies-Limited,Noida,4-7 Years,"DescriptionWe are seeking a highly skilled SQL Server database ETL professional to join our team in India. The successful candidate will be responsible for designing, developing, and maintaining ETL processes and data warehousing solutions. The ideal candidate will have 4-7 years of experience in the job market in India.ResponsibilitiesDesign, develop, and maintain ETL processes using SQL Server Integration Services (SSIS)Create and maintain data warehouse solutions using SQL Server Analysis Services (SSAS)Collaborate with cross-functional teams to analyze business requirements and design data solutionsOptimize ETL processes and data warehouse performanceTroubleshoot and resolve data quality issuesDevelop and maintain technical documentationStay up-to-date with emerging data technologies and industry trendsSkills and QualificationsBachelor's degree in Computer Science or related field4-7 years of experience in SQL Server database development and ETL processesStrong proficiency in SQL programming and database designExperience with SQL Server Integration Services (SSIS) and SQL Server Analysis Services (SSAS)Experience with data modeling and data warehousing conceptsExperience with performance tuning and optimizationStrong analytical and problem-solving skillsExcellent communication and collaboration skills",Permanent Job
Voltmx developer,HCL Technologies Limited,"Hyderabad, Bengaluru, Pune",Voltmx-developer,HCL-Technologies-Limited,Hyderabad-Bengaluru-Pune,5-10 Years,"DescriptionWe are seeking a highly skilled Voltmx Developer with 5-10 years of experience to join our team. The ideal candidate will have a strong background in Voltmx development and should be able to work independently to develop and maintain software applications. The candidate should have excellent problem-solving skills, attention to detail, and the ability to work in a fast-paced environment.ResponsibilitiesDevelop and maintain Voltmx applicationsDesign, code, test, and debug software applicationsCollaborate with cross-functional teams to define, design, and ship new featuresWrite clean, efficient, and well-documented codeIdentify and fix bugs and performance bottlenecksStay up-to-date with emerging trends and technologies in Voltmx developmentSkills and QualificationsBachelor's degree in Computer Science, Engineering, or a related field5-10 years of experience in Voltmx developmentSolid knowledge of Voltmx platform and its featuresExpertise in at least one programming language, preferably JavaStrong understanding of database concepts and experience with SQLExperience with web services, RESTful APIs, and microservices architectureExperience with Agile development methodologiesExcellent problem-solving and analytical skillsAbility to work independently as well as part of a teamExcellent communication skills",Permanent Job
.Net/ Azure Basics/ React JS Professional,Tata Consultancy Services Limited,Bengaluru,-Net-Azure-Basics-React-JS-Professional,Tata-Consultancy-Services-Limited,Bengaluru,4-10 Years,"Job descriptionRequired Technical Skill Set- Dot Net, Azure Basics, React JSMust-Have -Knowledge of C#, ASP .Net, .Net framework, .Net core.Net Framework, .Net Core, C#, API, Visual Studio 2017/2019, ASP.Net MVC, .Net Core, Full Stack .Net Developer, SOAP/WCF services/API Development Expert, Microservices, SQL Server/Azure/Entity FrameworkUnderstanding of C# language and syntax, AzureCreating RESTful APIs on Microsoft stack",Permanent Job
INFOR WFM Tester,Birlasoft Limited,Pune,INFOR-WFM-Tester,Birlasoft-Limited,Pune,7-10 Years,"DescriptionWe are seeking an experienced INFOR WFM Tester to join our team. The successful candidate will be responsible for testing INFOR WFM software and ensuring that it meets the quality standards. The ideal candidate should have 7-10 years of experience in INFOR WFM testing and should be able to work independently as well as in a team.ResponsibilitiesDesign, develop, and execute test plans for INFOR WFM softwarePerform functional testing, regression testing, and integration testingIdentify and report defects in a timely mannerCollaborate with cross-functional teams to ensure that software meets the quality standardsCreate and maintain test documentation, including test cases and test reportsSkills and QualificationsBachelor's or Master's degree in Computer Science or a related field7-10 years of experience in INFOR WFM testingExperience with test management tools, such as JIRA or HP ALMStrong knowledge of testing methodologies and best practicesExperience with automated testing tools, such as Selenium or QTPExcellent analytical and problem-solving skillsStrong communication and interpersonal skillsAbility to work independently as well as in a teamAbility to work in a fast-paced and dynamic environment",Permanent Job
Infor Syteline Technical Consultant,Birlasoft Limited,Pune,Infor-Syteline-Technical-Consultant,Birlasoft-Limited,Pune,1-6 Years,"Job descriptionArea(s) of responsibilityWe are looking for an experienced Infor Syteline Technical Consultant with a robust technical background to join our growing team. The ideal candidate will possess over 5 years of experience in implementing and supporting Infor CloudSuite Industrial (SyteLine) versions 8 to 9 and 10. You will play a crucial role in the installation, configuration, customization, and integration of the Syteline application, collaborating closely with the functional team to meet business requirements effectively. Your strong technical skills and team-oriented approach will help drive successful ERP implementations and enhancements.Key Responsibilities:Install and configure Infor Syteline and related add-ons, ensuring compliance with best practices and organizational standards.Collaborate closely with the functional team to understand high-level requirements and articulate them into technical specifications.Design and develop customizations including functions, reports, workflows, and integrations based on user requirements.Conduct unit testing to validate functionality and ensure quality enhancements and developments.Facilitate System Integration Testing (SIT) and Performance Testing to guarantee the robustness of developed solutions.Assist in data loading processes and ensure data integrity throughout the integration lifecycle.Oversee deployment strategies for implemented enhancements and customizations.Optional: Perform uplift, retrofit analysis, and assist in upgrade and migration projects.Required Skills and Qualifications:5+ years of experience in a technical consultant role focused on Syteline (versions 8 to 9 and CSI 10).Bachelors degree (B.E/B.Tech) or Master s degree in Computer Science, Information Technology, or a related field.Proven experience with ERP implementation, conversion, and rollout lifecycle, particularly with Infor CSI (SyteLine).Strong team player with excellent verbal and written communication skills, capable of articulating technical concepts to both technical and non-technical stakeholders.Proficiency in Microsoft technologies and ecosystems.Extensive experience in Syteline development and integration, including:Data views and Mongoose Reporting.Form customization and report development.SSRS (SQL Server Reporting Services) and Crystal Reporti.Net Framework and programming in C#.IDO (Intelligent Data Objects) development and Custom Assembly.Web API integrationStrong SQL skills with experience in SQL Server (Stored Procedures, Cursors, Triggers, Functions) and PL/SQL.Optional experience with ION (Intelligent Open Network) development, Business Object Document (BOD) development, and integration through APIs or connectors.",Permanent Job
Administrator,Wipro Limited,Noida,Administrator,Wipro-Limited,Noida,2-4 Years,"Role: IT Support AdministratorPurpose: To resolve, maintain, and manage client software, hardware, or network issues based on service requests, ensuring high-quality service and client satisfaction.Responsibilities:Respond promptly to tickets raised via various channels.Troubleshoot and resolve hardware/software issues within SLA timelines.Perform root cause analysis and implement long-term solutions.Maintain systems, perform backups, and ensure infrastructure stability.Collaborate with on-site teams for complex issues and coordinate resolutions.Key Competencies:Technical Expertise: Advanced knowledge of systems, servers, and networking.Problem-Solving: Execute effective and timely solutions.Collaboration: Work across teams for resolution excellence.Performance Measures:100% SLA adherence.Zero escalations and consistent client appreciation.",Permanent Job
Administrator,Wipro Limited,Siliguri,Administrator,Wipro-Limited,Siliguri,2-7 Years,"Role: IT Support AdministratorPurpose: To resolve, maintain, and manage client software, hardware, or network issues based on service requests, ensuring high-quality service and client satisfaction.Responsibilities:Respond promptly to tickets raised via various channels.Troubleshoot and resolve hardware/software issues within SLA timelines.Perform root cause analysis and implement long-term solutions.Maintain systems, perform backups, and ensure infrastructure stability.Collaborate with on-site teams for complex issues and coordinate resolutions.Key Competencies:Technical Expertise: Advanced knowledge of systems, servers, and networking.Problem-Solving: Execute effective and timely solutions.Collaboration: Work across teams for resolution excellence.Performance Measures:100% SLA adherence.Zero escalations and consistent client appreciation.",Permanent Job
Administrator,Wipro Limited,Delhi,Administrator,Wipro-Limited,Delhi,2-6 Years,"Role: IT Support AdministratorPurpose: To resolve, maintain, and manage client software, hardware, or network issues based on service requests, ensuring high-quality service and client satisfaction.Responsibilities:Respond promptly to tickets raised via various channels.Troubleshoot and resolve hardware/software issues within SLA timelines.Perform root cause analysis and implement long-term solutions.Maintain systems, perform backups, and ensure infrastructure stability.Collaborate with on-site teams for complex issues and coordinate resolutions.Key Competencies:Technical Expertise: Advanced knowledge of systems, servers, and networking.Problem-Solving: Execute effective and timely solutions.Collaboration: Work across teams for resolution excellence.Performance Measures:100% SLA adherence.Zero escalations and consistent client appreciation.",Permanent Job
Team Lead,Infosys BPM Limited,Chennai,Team-Lead,Infosys-BPM-Limited,Chennai,4-7 Years,"Responsibilities Key Responsibilities: Collaborate with internal teams and clients to understand campaign objectives and requirements. Design and build responsive email(s) (templates), utilizing SalesForce Marketing Cloud's drag-and-drop interface. Implement dynamic content and personalization strategies to enhance email engagement and conversion rates. Conduct A/B testing to optimize email performance and drive continuous improvement. Ensure email campaigns are compliant with industry regulations and best practices, including CAN-SPAM and GDPR. Monitor and analyze key performance metrics, providing insights and recommendations for future campaigns. Stay up-to-date on industry trends and best practices related to email marketing and SalesForce Marketing Cloud.Technical and Professional Requirements: Proficiency in HTML and CSS preferred (Mandatory) Strong understanding of email marketing principles, including segmentation, deliverability, and engagement metrics. Excellent attention to detail and design aesthetics. Ability to multitask and prioritize in a fast-paced environment. Strong communication and collaboration skills. 	Should have SFMC certification (Mandatory) Additional Responsibilities: Qualifications: Bachelor's degree in Marketing, Communications, or related field. 4+ years of experience working with SalesForce Marketing Cloud, specifically focusing on email building with an overall 5 to 6 years of experience.",Permanent Job
Sap Automation Tester with worksoft certify,HCL Technologies Limited,"Bengaluru, Pune",Sap-Automation-Tester-with-worksoft-certify,HCL-Technologies-Limited,Bengaluru-Pune,3-6 Years,"DescriptionWe are currently seeking a SAP Automation Tester with Worksoft Certify experience to join our team. The ideal candidate will have 3-6 years of experience in the job market context of India. The successful candidate will be responsible for testing SAP systems and automating testing using Worksoft Certify.ResponsibilitiesDesign and develop automated test scripts for SAP systems using Worksoft CertifyExecute automated tests and report defectsWork with cross-functional teams to identify and resolve defectsCreate and maintain test data for automated testingParticipate in test planning and estimationConduct functional and regression testingIdentify opportunities for test automation and work with the team to implement themSkills and Qualifications3-6 years of experience in SAP automation testingExperience with Worksoft CertifyExperience with SAP modules such as FICO, SD, MM, PP, QM, and PMStrong understanding of testing methodologies and best practicesExperience with test management tools such as HP ALM, JIRA, or ZephyrStrong analytical and problem-solving skillsExcellent communication and teamwork skillsBachelor's degree in Computer Science or related field",Permanent Job
Endpoint Security,Tata Consultancy Services Limited,Bengaluru,Endpoint-Security,Tata-Consultancy-Services-Limited,Bengaluru,5-10 Years,"Job description:TCS has always been in the spotlight for being adept in the next big technologies. What we can offer you is a space to explore varied technologies and quench your techie soul.What we are looking for:Deep technical expertise in Endpoint security technology domain with demonstrated expertise in one or more of the following areas EDR, HIPS, Anti-Malware, FIM, Server ProtectionProven experience in maintaining endpoint security solutions across enterprise environments.Provide compliance reports (monthly and based on need)Performing analysis of end-point security needs that contribute to the design, integration, and installation of hardware and software.Analysis, troubleshooting and development of solutions to end-point security problems.Excellent troubleshooting skillsCreation of SOPs for daily operations of endpoint security tools and servicesMonitoring security advisory groups to ensure all necessary security updates, patches and preventive measures are in place.Support forensics activates and requirements.Good soft skills and multi-tasking abilities",Permanent Job
Oracle Apps Technical,Birlasoft Limited,"Bengaluru, Mumbai, Pune",Oracle-Apps-Technical,Birlasoft-Limited,Bengaluru-Mumbai-Pune,4-8 Years,"About Birlasoft:Birlasoft, a powerhouse where domain expertise, enterprise solutions, and digital technologies converge to redefine business processes. We take pride in our consultative and design thinking approach, driving societal progress by enabling our customers to run businesses with unmatched efficiency and innovation. As part of the CK Birla Group, a multibillion-dollar enterprise, we boast a 12,500+ professional team committed to upholding the Group's 162-year legacy. Our core values prioritize Diversity, Equity, and Inclusion (DEI) initiatives, along with Corporate Sustainable Responsibility (CSR) activities, demonstrating our dedication to building inclusive and sustainable communities. Join us in shaping a future where technology seamlessly aligns with purpose.About the Job:As an Oracle Application Technical Consultant, you must be an expert with Oracle PL SQL, Oracle Reports, XML Publisher, Oracle Web services and SoapUI. You should be able to Build XML payload and consume the XML payload through web service and store at Table. Understand Oracle collections. Solid PL SQL knowledge.Title: Oracle Apps Technical ConsultantLocation: Pune/Mumbai/Bangalore/NoidaEducational Background : Masters/Professional DegreeKey Responsibilities :Good Knowledge on Production support activity on Agile mode.Hands on Development and Support role experience.Basic understanding on EB Tax will be added advantage.Solid PL SQL who understands Collections, Dynamic SQL, packages and procedures.Good Understanding on SCM and finance module. (OM, PO, AP, AR and INV)Oracle RDF reports, XML/ BI PublisherUnderstanding on OAF is added advantage.Exposure to oracle web services is required.Skills Required: Min 5+ years of relevant experience required.Additional Requirements : Excellent People Management skills with strong ability to lead & mentor the teamKnowledge of Global IT systems and infrastructureClient facing experience.In-depth knowledge of domain Industry and business environmentAnalytical and problem-solving capabilities",Permanent Job
Audit Compliance Lead,Wipro Limited,Bengaluru,Audit-Compliance-Lead,Wipro-Limited,Bengaluru,3-8 Years,"Managing internal audit activities for technology functionManaging risk control activities, conducting walkthroughs, liaise with auditors for relevant evidence, reviewing audit artifacts for adherence etc.Sample verification for checking authenticity of documents.Performing root cause analysis on identified risk events to recommend improvements to prevent recurring in-futureMonitoring sampling % & TAT as per pre-defined parameters across products for various applications and businessesWorking knowledge on preparing corrective and preventive actionsKnowledge on SOX Audit",Permanent Job
HCL Technologies | Delivery Compliance| Chennai,HCL Technologies Limited,Chennai,HCL-Technologies-Delivery-Compliance-Chennai,HCL-Technologies-Limited,Chennai,9-14 Years,"Required to have an excellent understanding of the IT Control framework, in particular risk assessment and control selectionWorking experience in any two of the compliance programs (PCI DSS,HIPPA,ISO 27001,SOC2, SOX,NIST,FISMA,COBIT)Lead teams and efforts to ensure effective execution of periodic risk assessments and drive integration of remediation efforts with the risk management processPartner with service delivery leadership to both communicate and manage risk in delivery to an acceptable levelPartner with delivery team to increase the level of awareness of compliance with policy and processLead and perform activities to help measure and monitor compliance with contractual control security requirements, company policies and procedures to ensure the account is compliant and audit readyLead different compliance & audit testing programs and support successful completion of various external compliance certification programs and internal compliance assessmentsProven ability to lead small teams dedicated to the performance of risk management and assessment responsibilities.Ability to provide effective management of junior employees.Develops and provides appropriate guidance on solutions to mitigate risks and enhance system securityCoordinates with other DCO and Delivery Compliance representatives to build out world class compliance program components to include processes, procedures, and technologies.Deep understanding of privacy and business continuity requirements and support R&C Privacy and BCM teams in execution of their respective programDemonstrates ability to work in virtual team with help of tools and technologiesDemonstrates ability to handle conflicting situation & should have strong verbal, written communication & analytical skillsMust have systematic and pragmatic approach to problem solvingDemonstrates good inter-personal skills, high standards of professional behavior in dealings with business customers, colleagues and staffHave a good technical awareness and the aptitude to remain up to date with information security and IT developmentsAbility to communicate Risk to non IT business owners and support function such as delivery, HR, GWS, Physical Security, Legal, Contracting and othersAbility to communicate risk at all levels of management up to and including C-Level executives.Translate business, industry, and regulatory requirements into information security objectives and associated tactical/strategic information security initiativesCertification such as CISA/CISSP/CISM /CRISC/ CGEIT/ISO27001 or any other security related certifications are preferred.Primary Skill: Information Risk Management/Information Security or auditingSecondary Skill: Understanding of general IT Control framework, BCM Concepts, Privacy, Vendor risk management, Legal and Regulatory requirements in relation to Information Security and ITRequired Experience and Educational Qualification:Minimum of 8-14 years of experience in Information Risk Management/Information Security or auditing.BE/BTech/BCA/BSc Comp Science/Any graduate with Computer Science diplomaOther relevant skills:Strong communication skillsAbility to multi-task, prioritize, and meet timelines on deliverablesProficient in MS OfficeTeam Management SkillsAble to translate contractual terms into information security controls",Permanent Job
Sr. Automation Tester,HCL Technologies Limited,Bengaluru,Sr-Automation-Tester,HCL-Technologies-Limited,Bengaluru,5-10 Years,"DescriptionWe are seeking a highly skilled Sr. Automation Tester with 5-10 years of experience to join our team. The ideal candidate should have a strong background in automation testing and experience working with agile methodologies. The role requires excellent communication skills, strong problem-solving abilities, and the ability to work independently.ResponsibilitiesDevelop and maintain automated test scripts for web and mobile applications using Selenium WebDriver, Appium, and other automation toolsCollaborate with cross-functional teams to identify and prioritize test cases for automationExecute automated test scripts and analyze results to identify defects and performance issuesWork with developers and QA team members to troubleshoot and resolve issuesCreate and maintain test plans, test cases, and test dataParticipate in agile ceremonies such as sprint planning, daily stand-ups, and retrospectivesSkills and Qualifications5-10 years of experience in automation testingStrong experience with Selenium WebDriver, Appium, and other automation toolsExperience with programming languages such as Java, Python, or JavaScriptExperience working in an agile development environmentStrong analytical and problem-solving skillsExcellent communication and collaboration skillsBachelor's or Master's degree in Computer Science or related field",Permanent Job
SAP CPI Consultant,Tata Consultancy Services Limited,"Hyderabad, Chennai, Bengaluru",SAP-CPI-Consultant,Tata-Consultancy-Services-Limited,Hyderabad-Chennai-Bengaluru,4-9 Years,"Job descriptionProven experience as an SAP CPI Consultant with a focus on SuccessFactors integrations (including Employee Central, Performance Management, Learning Management, etc.).Strong understanding of integration design patterns, data mapping, transformation techniques, and API management.Proficiency in integration protocols and standards such as SOAP, REST and OData.Familiarity with SuccessFactors APIs, data models, and security frameworks.Experience with Dell Boomi integration technology is a plus.Excellent troubleshooting and problem-solving skills, with the ability to analyze and resolve complex integration issues.Strong communication and collaboration skills, with the ability to work effectively in a team environment and interact with stakeholders at various levels.Familiarity with full project lifecycle implementation, from requirements gathering to solution design, development, testing, and deployment.",Permanent Job
SAP Central Finance Professional,Tata Consultancy Services Limited,"Hyderabad, Bengaluru, Chennai",SAP-Central-Finance-Professional,Tata-Consultancy-Services-Limited,Hyderabad-Bengaluru-Chennai,7-12 Years,"Job descriptionDesired Competencies (Technical/Behavioral Competency)Must-Have(Ideally should not be more than 3-5) 3+ CFIN and 6+ SAP implementation and support in S/4HANA Central Finance area with AIF experienceImplement and configure SAP S/4HANA Central Finance (CFin) for financial transformation projects.Work with stakeholders to analyze business requirements and map them to CFin functionalities.Configure SAP SLT (System Landscape Transformation) for data replication.Support integration between CFin and SAP ECC, S/4HANA, and third-party financial systems.Troubleshoot and resolve issues related to AIF (Application Interface Framework) and MDG (Master Data Governance).Ensure real-time financial data replication and consistency across source systems.Lead testing, training, and cutover activities for CFin implementation.Provide post-go-live support and performance optimization.Good-to-Have AIF experience",Permanent Job
